FileTools-AppendLogToFile-error:读取文件内容发生错误！文件“E:\MyCoding\c#\2015\SWebVulnsScan\SWebVulnsScan\bin\Debug\logs\2016年5月4日.log.txt”正由另一进程使用，因此该进程无法访问此文件。----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64246----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64248----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64248----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64249----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64249----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64250----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64250----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64247----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64247----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64251----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64251----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64253----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64253----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64252----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64252----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64258----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64258----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64254----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64256----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64254----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64256----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64259----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64255----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64255----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64259----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64257----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64257----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64260----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64262----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64260----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64262----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64261----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64265----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64265----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64264----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64263----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64263----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64264----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64261----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64266----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64266----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64275----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64274----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64271----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64269----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64271----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64270----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64269----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64273----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64280----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64280----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64273----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64270----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64279----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64267----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64267----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64274----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64279----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64278----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64276----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64268----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64275----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64278----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64276----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64272----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64272----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64268----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64277----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64277----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64283----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64282----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64282----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64281----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64285----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64285----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64286----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64290----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64289----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64289----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64300----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64294----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64299----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64299----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64287----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64287----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64291----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64291----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64296----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64303----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64303----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64288----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64296----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64295----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64288----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64298----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64283----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64292----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64301----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64281----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64286----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64308----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64304----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64304----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64305----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64305----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64293----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64307----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64307----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64308----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64295----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64297----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64284----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64284----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64300----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64306----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64292----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64301----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64306----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64298----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64294----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64293----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64290----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64302----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64302----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64309----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64309----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64297----2016/5/4 17:32:56
http:///malurl_tip?m=80055ba80a4005f02920e3888151158e&d=101&u=http%3A%2F%2Fwww.sanlink.com.cn%2F&q=%E6%8A%A5%E8%A1%A8/wp-login.php----getReuqestBody请求发生异常！无效的 URI: 未能分析主机名。----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64315----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64315----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64317----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64318----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64311----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64321----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64312----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64322----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64321----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64317----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64322----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64310----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64319----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64310----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64313----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64313----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64314----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64318----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64316----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64312----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64311----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64320----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64316----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64314----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64320----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64319----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64324----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64325----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64323----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64324----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64325----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64323----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64327----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64327----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64328----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64329----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64329----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64328----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64326----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64326----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64330----2016/5/4 17:32:56
发包发生异常，正在重试----HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64330----2016/5/4 17:32:56
HTTP发包错误！错误消息：TimeOut ExceptionConnect----发包编号：64331----2016/5/4 17:32:56
